국가,구분,일자,요일,신규확진(명),누적확진(명),인구확진률(%),인구(명),신규사망(명),누적사망(명),사망률(%)
대한민국,일간,2023/03/20,월,12016,30714976,59.31,51784059,7,34178,0.11
대한민국,일간,2023/03/19,일,3930,30702960,59.29,51784059,9,34171,0.11
대한민국,일간,2023/03/18,토,8807,30699030,59.28,51784059,3,34162,0.11
대한민국,일간,2023/03/17,금,8995,30690223,59.27,51784059,4,34159,0.11
대한민국,일간,2023/03/16,목,9065,30681228,59.25,51784059,7,34155,0.11
대한민국,일간,2023/03/15,수,9934,30672163,59.23,51784059,17,34148,0.11
대한민국,일간,2023/03/14,화,11899,30662229,59.21,51784059,10,34131,0.11
대한민국,일간,2023/03/13,월,11401,30650330,59.19,51784059,6,34121,0.11
대한민국,일간,2023/03/12,일,4198,30638929,59.17,51784059,12,34115,0.11
대한민국,일간,2023/03/11,토,9342,30634731,59.16,51784059,7,34103,0.11
대한민국,일간,2023/03/10,금,9867,30625389,59.14,51784059,3,34096,0.11
대한민국,일간,2023/03/09,목,10335,30615522,59.12,51784059,12,34093,0.11
대한민국,일간,2023/03/08,수,10890,30605187,59.10,51784059,20,34081,0.11
대한민국,일간,2023/03/07,화,12798,30594297,59.08,51784059,12,34061,0.11
대한민국,일간,2023/03/06,월,12284,30581499,59.06,51784059,15,34049,0.11
대한민국,일간,2023/03/05,일,4300,30569215,59.03,51784059,9,34034,0.11
대한민국,일간,2023/03/04,토,9813,30564915,59.02,51784059,5,34025,0.11
대한민국,일간,2023/03/03,금,11121,30555102,59.00,51784059,6,34020,0.11
대한민국,일간,2023/03/02,목,10408,30543981,58.98,51784059,11,34014,0.11
대한민국,일간,2023/03/01,수,7561,30533573,58.96,51784059,15,34003,0.11
대한민국,일간,2023/02/28,화,12291,30526012,58.95,51784059,11,33988,0.11
대한민국,일간,2023/02/27,월,10817,30513721,58.92,51784059,16,33977,0.11
대한민국,일간,2023/02/26,일,4026,30502904,58.90,51784059,15,33961,0.11
대한민국,일간,2023/02/25,토,9212,30498878,58.90,51784059,6,33946,0.11
대한민국,일간,2023/02/24,금,9913,30489666,58.88,51784059,11,33940,0.11
대한민국,일간,2023/02/23,목,10051,30479753,58.86,51784059,20,33929,0.11
대한민국,일간,2023/02/22,수,10845,30469702,58.84,51784059,22,33909,0.11
대한민국,일간,2023/02/21,화,13082,30458857,58.82,51784059,14,33887,0.11
대한민국,일간,2023/02/20,월,11880,30445775,58.79,51784059,8,33873,0.11
대한민국,일간,2023/02/19,일,4324,30433895,58.77,51784059,9,33865,0.11
대한민국,일간,2023/02/18,토,10274,30429571,58.76,51784059,12,33856,0.11
대한민국,일간,2023/02/17,금,10641,30419297,58.74,51784059,12,33844,0.11
대한민국,일간,2023/02/16,목,11436,30408656,58.72,51784059,28,33832,0.11
대한민국,일간,2023/02/15,수,12519,30397220,58.70,51784059,22,33804,0.11
대한민국,일간,2023/02/14,화,14957,30384701,58.68,51784059,24,33782,0.11
대한민국,일간,2023/02/13,월,14371,30369744,58.65,51784059,11,33758,0.11
대한민국,일간,2023/02/12,일,5174,30355373,58.62,51784059,11,33747,0.11
대한민국,일간,2023/02/11,토,11911,30350199,58.61,51784059,23,33736,0.11
대한민국,일간,2023/02/10,금,12805,30338288,58.59,51784059,16,33713,0.11
대한민국,일간,2023/02/09,목,13504,30325483,58.56,51784059,17,33697,0.11
대한민국,일간,2023/02/08,수,14664,30311979,58.54,51784059,34,33680,0.11
대한민국,일간,2023/02/07,화,17934,30297315,58.51,51784059,22,33646,0.11
